"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30267","Click","webkit","Thu Sep 19 12:37:11 COT 2024","broken","Thu Sep 19 12:37:41 COT 2024","Testing screenplay-playwright-js web module","regressionTest/HealtCheck/01_web_finkargo_locators.spec.ts","",""
"","2967","failAsFalse","webkit","Thu Sep 19 12:37:46 COT 2024","passed","Thu Sep 19 12:37:49 COT 2024","Testing screenplay-playwright-js failure handling","regressionTest/HealtCheck/02_failure-handling.spec.ts","",""
"","2062","Wait + Recursive Locators","firefox","Thu Sep 19 12:36:21 COT 2024","passed","Thu Sep 19 12:36:23 COT 2024","Testing screenplay-playwright-js web module","regressionTest/HealtCheck/01_web_finkargo_locators.spec.ts","",""
"","4640","Registrando formulario Info Financiera","firefox","Thu Sep 19 12:36:31 COT 2024","passed","Thu Sep 19 12:36:35 COT 2024","","regressionTest/operaciones/03-info_financiera.spec.js","",""
"","2601","Hover","firefox","Thu Sep 19 12:36:15 COT 2024","passed","Thu Sep 19 12:36:18 COT 2024","Testing screenplay-playwright-js web module","regressionTest/HealtCheck/01_web_finkargo_locators.spec.ts","",""
"","30122","Validar redirección a la sección ""Cursos""","firefox","Thu Sep 19 12:36:38 COT 2024","broken","Thu Sep 19 12:37:08 COT 2024","Navegación en Staging Finkargo Col // User Interno","regressionTest/operaciones/07-comite.spec.ts","",""
"","2167","Press","chromium","Thu Sep 19 12:34:58 COT 2024","passed","Thu Sep 19 12:35:00 COT 2024","Testing screenplay-playwright-js web module","regressionTest/HealtCheck/01_web_finkargo_locators.spec.ts","",""
"","2107","Click with LazySelector","firefox","Thu Sep 19 12:36:22 COT 2024","passed","Thu Sep 19 12:36:24 COT 2024","Testing screenplay-playwright-js web module","regressionTest/HealtCheck/01_web_finkargo_locators.spec.ts","",""
"","3043","Handle iFrames","webkit","Thu Sep 19 12:37:41 COT 2024","passed","Thu Sep 19 12:37:44 COT 2024","Testing screenplay-playwright-js web module","regressionTest/HealtCheck/01_web_finkargo_locators.spec.ts","",""
"","3778","test login","webkit","Thu Sep 19 12:37:48 COT 2024","passed","Thu Sep 19 12:37:51 COT 2024","","regressionTest/operaciones/00-login.spec.js","",""
"","2131","Press","webkit","Thu Sep 19 12:37:40 COT 2024","passed","Thu Sep 19 12:37:42 COT 2024","Testing screenplay-playwright-js web module","regressionTest/HealtCheck/01_web_finkargo_locators.spec.ts","",""
"","2056","Wait + Recursive Locators","webkit","Thu Sep 19 12:37:42 COT 2024","passed","Thu Sep 19 12:37:44 COT 2024","Testing screenplay-playwright-js web module","regressionTest/HealtCheck/01_web_finkargo_locators.spec.ts","",""
"","2621","Navegar por Staging Col","chromium","Thu Sep 19 12:34:27 COT 2024","passed","Thu Sep 19 12:34:29 COT 2024","Testing screenplay-playwright-js web module","regressionTest/HealtCheck/01_web_finkargo_locators.spec.ts","",""
"","2912","failAsFalse","firefox","Thu Sep 19 12:36:24 COT 2024","passed","Thu Sep 19 12:36:27 COT 2024","Testing screenplay-playwright-js failure handling","regressionTest/HealtCheck/02_failure-handling.spec.ts","",""
"","4576","Registrando Info Seguros","firefox","Thu Sep 19 12:36:33 COT 2024","passed","Thu Sep 19 12:36:38 COT 2024","","regressionTest/operaciones/05-seguros_mercancia.spec.js","",""
"","30216","Validar redirección a la sección ""Udemy""","webkit","Thu Sep 19 12:37:56 COT 2024","broken","Thu Sep 19 12:38:26 COT 2024","Navegación en Staging Finkargo Col // User Interno","regressionTest/operaciones/07-comite.spec.ts","",""
"","3521","Registrando Info Proveedores y bancos","chromium","Thu Sep 19 12:35:13 COT 2024","passed","Thu Sep 19 12:35:16 COT 2024","","regressionTest/operaciones/06-proveedore_bancos.spec.js","",""
"","30200","Validar redirección a la sección ""Recursos""","webkit","Thu Sep 19 12:37:59 COT 2024","broken","Thu Sep 19 12:38:29 COT 2024","Navegación en Staging Finkargo Col // User Interno","regressionTest/operaciones/07-comite.spec.ts","",""
"","4074","Element.visible","webkit","Thu Sep 19 12:37:44 COT 2024","passed","Thu Sep 19 12:37:48 COT 2024","Testing screenplay-playwright-js web module","regressionTest/HealtCheck/01_web_finkargo_locators.spec.ts","",""
